provider;description;sentiment;
Folha;Trump rebate Powell sobre processo criminal: 'Ele não é muito bom no Fed, nem em construir prédios';-1;
Folha;Procuradores federais dos EUA abrem investigação criminal contra presidente do Fed;-1;
Folha;Ouro e prata batem recordes, e dólar recua após investigação contra presidente do Fed;-1;
Folha;Dólar e Bolsa rondam a estabilidade após governo dos EUA iniciar investigação contra Powell;-1;
Folha;"J.P. Morgan prevê aumento de juros nos EUA em 2027; Barclays e Goldman adiam previsões de corte";-1;
Folha;De saída da Brava, CEO diz que Venezuela precisaria de dois 'pré-sais' por ano para ter produção estável;-1;
Folha;Investigação sobre Powell aumenta temor sobre Fed independente, diz economista-chefe do Goldman Sachs;-1;
Folha;Ex-presidentes do Fed criticam investigação sobre Powell e dizem que Trump imita país emergente;-1;
Valor;BRB pede a Toffoli para acessar investigação sobre Banco MasterCaso está sob grau elevado de sigilo, o que oculta o acesso a informações;-1;
Valor;Brasileiros movimentam R$ 107 bilhões em cripto no 3º trimestre do ano passadoDados da Receita Federal de julho a setembro do ano passado indicam queda nas operações em 12 meses, avanço das transações de empresas e crescimento de Ethereum entre investidores brasileiros;0;
Valor;Coinbase aumenta pressão sobre parlamentares dos EUA em projeto criptoPossibilidade de oferecer recompensas a usuários que mantêm stablecoins em corretoras de criptomoedas está em debate, com forte oposição dos bancos;0;
Valor;Banco Master: Jhonatan de Jesus confirma presença em reunião do TCU com presidente do BCPresença do relator do processo que analisa atuação do BC no caso não estava definida até o início da manhã e não consta na agenda oficial da reunião, mas participação foi confirmada por assessoria;0;
Valor;Sindicato solicita prazo para aprovar dividendo isento de IR até 30 de abril, mas Justiça mantém 31 de janeiro21ª Vara Cível Federal de São Paulo segue prazo definido pelo ministro do STF Nunes Marques, ante 31 de dezembro de 2025 previsto na nova lei;0;
Valor;Trump rebate Powell e diz que dirigente ‘não é muito bom em construir prédios’Presidente americano afirma não ter conhecimento das ações do Departamento de Justiça (DoJ) do país contra o presidente do Federal Reserve;-1;
Valor;"Taxas de Treasuries avançam e dólar no exterior cai após intimação a Powell; NY ronda estabilidadeAbertura de investigação criminal contra presidente do Fed desencadeou um movimento de liquidação em ativos americanos, ainda que de forma restrita";-1;
Infomoney;Temos que melhorar a proposta do relatório', diz Guimarães sobre PEC da Segurança;0;
Infomoney;Morgan prevê cenário binário para preços do petróleo e prefere Vibra à Petrobras;0;
Infomoney;FII vende condomínio logístico no interior de SP por R$ 62,5 milhões;0;
Infomoney;BBB 26 estreia com 15 patrocinadores e IA para turbinar engajamento da Globo;1;
