provider;description;topic1;topic2;topic3;sentiment;gpt-4-1-palavra-chave1;gpt-4-1-palavra-chave2;gpt-4-1-palavra-chave3;gpt-4-1-sentimento;gpt-4o-mini-palavra-chave1;gpt-4o-mini-palavra-chave2;gpt-4o-mini-palavra-chave3;gpt-4o-mini-sentimento;gpt-4-1-mini-palavra-chave1;gpt-4-1-mini-palavra-chave2;gpt-4-1-mini-palavra-chave3;gpt-4-1-mini-sentimento;gpt-5-palavra-chave1;gpt-5-palavra-chave2;gpt-5-palavra-chave3;gpt-5-sentimento;gpt-5-mini-palavra-chave1;gpt-5-mini-palavra-chave2;gpt-5-mini-palavra-chave3;gpt-5-mini-sentimento;gpt-5-nano-palavra-chave1;gpt-5-nano-palavra-chave2;gpt-5-nano-palavra-chave3;gpt-5-nano-sentimento
Folha;Trump rebate Powell sobre processo criminal: 'Ele não é muito bom no Fed, nem em construir prédios';Trump;Powell;Fed;-1;Trump;Powell;processo criminal;-1;Trump;Powell;processo criminal;-1;Trump;Powell;processo criminal;-1;Trump;Powell;processo criminal;-1;Trump;Powell;processo criminal;-1;Trump;Powell;processo_criminal;-1
Folha;Procuradores federais dos EUA abrem investigação criminal contra presidente do Fed;Fed;;;-1;investigação criminal;procuradores federais;presidente do Fed;-1;investigação;presidente;Fed;-1;Procuradores federais;investigação criminal;presidente do Fed;-1;investigação criminal;presidente do Fed;procuradores federais dos EUA;-1;investigação criminal;procuradores federais dos EUA;presidente do Fed;-1;investigação criminal;procuradores federais;presidente do Fed;-1
Folha;Ouro e prata batem recordes, e dólar recua após investigação contra presidente do Fed;Ouro;Dólar;Fed;-1;ouro;prata;dólar;0;Ouro;prata;dólar;1;ouro;prata;dólar;0;ouro e prata;dólar;investigação contra presidente do Fed;-1;Ouro e prata;Dólar;Investigação contra presidente do Fed;-1;ouro;prata;dólar;0
Folha;Dólar e Bolsa rondam a estabilidade após governo dos EUA iniciar investigação contra Powell;Dólar;Bolsa;Powell;-1;investigação;Powell;estabilidade;0;Dólar;Bolsa;investigação;-1;Dólar;Bolsa;investigação;-1;investigação do governo dos EUA contra Jerome Powell;dólar;bolsa;-1;investigação contra Powell;Bolsa;Dólar;-1;Dólar;Bolsa;investigação;-1
Folha;"J.P. Morgan prevê aumento de juros nos EUA em 2027; Barclays e Goldman adiam previsões de corte";J.P. Morgan;Juros;;-1;aumento de juros;EUA;previsões de corte;-1;aumento de juros;J.P. Morgan;previsões;-1;J.P. Morgan;aumento de juros;previsões adiadas;-1;aumento de juros nos EUA;previsões de corte adiadas;J.P. Morgan;-1;aumento de juros;J.P. Morgan;Barclays e Goldman;-1;aumento de juros;2027;previsões de corte;-1
Valor;"BRB pede a Toffoli para acessar investigação sobre Banco Master
Caso está sob grau elevado de sigilo, o que oculta o acesso a informações";Banco Master;BRB;Toffoli;-1;BRB;Toffoli;Banco Master;0;BRB;Toffoli;investigação;-1;BRB;Toffoli;Banco Master;-1;BRB;Banco Master;Toffoli;0;BRB;Toffoli;Banco Master;-1;BRB;Toffoli;Banco Master;-1
Valor;"Brasileiros movimentam R$ 107 bilhões em cripto no 3º trimestre do ano passado
Dados da Receita Federal de julho a setembro do ano passado indicam queda nas operações em 12 meses, avanço das transações de empresas e crescimento de Ethereum entre investidores brasileiros";Cripto;Ethereum;;0;cripto;queda nas operações;Ethereum;0;cripto;queda;Ethereum;-1;cripto;movimentação;Ethereum;0;R$ 107 bilhões;cripto;Ethereum;0;R$ 107 bilhões;cripto;Ethereum;0;cripto;Ethereum;investidores;0
Valor;"Coinbase aumenta pressão sobre parlamentares dos EUA em projeto cripto
Possibilidade de oferecer recompensas a usuários que mantêm stablecoins em corretoras de criptomoedas está em debate, com forte oposição dos bancos";Cripto;;;0;Coinbase;projeto cripto;bancos;0;Coinbase;parlamentares;stablecoins;-1;Coinbase;parlamentares;stablecoins;-1;Coinbase;projeto cripto nos EUA;stablecoins;0;Coinbase;stablecoins;bancos;-1;Coinbase;stablecoins;parlamentares;0
Valor;"Banco Master: Jhonatan de Jesus confirma presença em reunião do TCU com presidente do BC
Presença do relator do processo que analisa atuação do BC no caso não estava definida até o início da manhã e não consta na agenda oficial da reunião, mas participação foi confirmada por assessoria";Banco Master;;;0;Jhonatan de Jesus;TCU;Banco Central;0;Banco Master;reunião;presença;0;Jhonatan de Jesus;TCU;BC;0;Banco Master;TCU e Banco Central;Jhonatan de Jesus;0;Jhonatan de Jesus;reunião TCU-BC;Banco Master;0;Banco Master;TCU;presidente do BC;0
Valor;"Trump rebate Powell e diz que dirigente ‘não é muito bom em construir prédios’
Presidente americano afirma não ter conhecimento das ações do Departamento de Justiça (DoJ) do país contra o presidente do Federal Reserve";Trump;Powell;;-1;Trump;Federal Reserve;Powell;-1;Trump;Powell;Federal Reserve;-1;Trump;Powell;Federal Reserve;-1;Trump;Jerome Powell;Federal Reserve;-1;Trump;Powell;Departamento de Justiça;-1;Trump;Powell;Federal Reserve;-1
